hex_Res7,med_price,current_pop,pop_change,median_income,total_sales,median_price_sf
8744c1a8bffffff,361152.5,,0.43,110413,,
8744c139effffff,349445,,0.71,60327,,
8744c104cffffff,267500,12891,-0.35,51729,,
8744c1320ffffff,287500,12819,0.7,95432,,
8744c1aaaffffff,240000,12773,0.04,33125,,
8744c106dffffff,465750,12709,1.77,129528,,
8744c176dffffff,354500,12590,0.62,68659,,
8744c13a1ffffff,237000,12470,-0.09,66024,,
8744c1304ffffff,690000,12350,0.54,134223,,
8744c139dffffff,360000,12347,0.41,60418,,
8744c1324ffffff,718995,11999,1.18,104457,,
8744c13acffffff,226250,11979,-0.45,49701,,
8744c1a9cffffff,635000,11931,1.77,133795,,
8744c3a00ffffff,232000,11892,1.52,27760,56,225.9784736
8744c130affffff,660000,11820,0.23,121608,,
8744c1069ffffff,460000,11735,0.75,100498,,
8744c1a80ffffff,521500,11664,1.68,142274,,
8744c105dffffff,242000,11579,0.12,45101,,
8744c1366ffffff,440000,11484,0.83,89352,,
8744c1325ffffff,875000,11016,0.04,110872,,
8744c1a85ffffff,353750,10854,1.92,41993,,
8744c13a3ffffff,322500,10795,-0.21,59695,,
8744ccdb2ffffff,355000,10659,0.56,52852,,
8744c1335ffffff,540000,10563,0.21,90275,,
8744c1308ffffff,620000,10533,0.22,116462,,
8744c1ad9ffffff,237500,10430,0.93,57709,,
8744c131dffffff,660000,10324,-0.23,87883,,
8744c1048ffffff,377000,10256,0.07,63184,,
8744c1393ffffff,345000,10213,0.35,63866,,
8744c1385ffffff,331000,10188,0,59502,,
8744c1a82ffffff,560000,10016,0.42,135311,,
8744c1334ffffff,495000,9959,0.3,117058,,
8744c1322ffffff,741250,9951,-0.16,104145,,
8744c1a8dffffff,647500,9719,2.33,100654,,
8744c104dffffff,415000,9719,-0.11,74962,,
8744c13aaffffff,326300,9716,-0.31,64696,,
8744c130cffffff,445000,9270,0.17,108704,,
8744ccc80ffffff,424900,9227,2.51,82246,,
8744c1761ffffff,362000,9175,0.22,75952,,
8744c1aabffffff,223000,9145,0.6,43703,,
8744c1234ffffff,746250,9076,0,68425,,
8744c1382ffffff,325000,9060,0.77,55450,,
8744c131affffff,420000,9051,0,55130,,
8744c1326ffffff,606250,9037,0.51,100385,,
8744c1384ffffff,310000,9003,-0.25,63433,,
8744c1adcffffff,500000,8960,1.58,103959,,
8744c1a99ffffff,1414450,8889,-0.37,161735,,
8744c3a03ffffff,250000,8817,-0.18,26094,102,242.513734
8744c106affffff,357500,8795,0.97,62119,,
8744c1ad4ffffff,358750,8768,0.52,115163,,
8744c1315ffffff,264750,8721,-0.23,75355,,
8744c130bffffff,590000,8707,-0.4,105865,,
8744c1ac3ffffff,635000,8704,0.36,115181,,
8744c1221ffffff,244000,8652,-0.82,82273,,
8744c1a9effffff,880000,8569,0.22,171611,,
8744c12a4ffffff,390000,8568,0.14,78209,,
8744c1ac0ffffff,580000,8516,0.72,129611,,
8744c1a9bffffff,450000,8507,-0.22,94882,,
8744c122effffff,576250,8503,-0.47,90691,,
8744c1333ffffff,730000,8395,-0.42,93411,,
8744dd8e6ffffff,,8313,0.06,40510,,
8744c13a2ffffff,423775,8304,-0.19,83013,,
8744ccc96ffffff,430000,8293,1.34,106050,,
8744c1213ffffff,530000,8237,-0.52,156164,,
8744c174cffffff,399700,8159,-0.17,97434,,
8744c1ad8ffffff,437500,8080,4.21,102121,,
8744ccca1ffffff,389990,8008,0.98,102064,,
8744c12adffffff,556000,7960,-0.65,170306,,
8744c132bffffff,821250,7945,-0.71,107542,,
8744c138effffff,415000,7894,0.33,77889,,
8744c1a8cffffff,232500,7875,3.43,38457,,
8744c1744ffffff,319000,7843,1.06,78646,,
8744c1072ffffff,250000,7791,0.18,59348,,
8744ccd94ffffff,362000,7782,0.25,67758,,
8744c1042ffffff,252500,7781,-0.54,80019,,
8744dd541ffffff,,7773,1.04,60610,,
8744c1225ffffff,390000,7769,-0.53,72099,,
8744c1aa8ffffff,386500,7767,0.14,63885,,
8744c121effffff,920000,7759,-0.9,158713,,
8744ccca5ffffff,431500,7753,-0.39,136820,,
8744c1a91ffffff,540000,7711,0.98,82043,,
8744c1a89ffffff,630000,7709,0.77,107699,,
8744c1311ffffff,433550,7700,2.04,60297,,
8744ccdb6ffffff,330000,7689,0.04,75337,,
8744c1211ffffff,825000,7688,-0.56,175372,,
8744c1a9affffff,720000,7657,-0.36,176945,,
8744c1312ffffff,519087.5,7614,-0.4,127298,,
8744c1acdffffff,282500,7600,-0.25,69797,,
8744c1356ffffff,225000,7556,-1.01,80621,,
8744c3a01ffffff,345000,7529,0.73,43149,127,330.3752029
8744c1395ffffff,428000,7459,-0.29,56126,,
8744c104effffff,292500,7445,-0.26,71833,,
8744c1071ffffff,252500,7412,0.56,70876,,
8744c1309ffffff,515000,7407,1.26,110515,,
8744c1045ffffff,282500,7366,1.13,54162,,
8744c1306ffffff,550000,7338,-0.02,141221,,
8744c12e6ffffff,475000,7329,-0.07,118407,,
8744c132affffff,650000,7322,-0.25,117041,,
8744c1364ffffff,196500,7310,0.15,54677,,
8744c1769ffffff,442500,7307,1.42,75292,,
8744c1303ffffff,725000,7277,0.11,128582,,
8744c10c1ffffff,327000,7259,0.09,108470,,
8744c1670ffffff,532500,7232,1.14,102782,,
8744c1046ffffff,242500,7202,-0.58,56313,,
8744c1295ffffff,522500,7165,1.31,107955,,
8744c1ac8ffffff,367500,7152,0.57,70487,,
8744ccca3ffffff,410000,7131,3.11,114807,,
8744c1af0ffffff,439995,7122,0.93,41110,,
8744c176cffffff,366000,7082,-0.38,85454,,
8744dd56dffffff,,7062,2.61,65444,,
8744c1041ffffff,248000,7016,-0.43,65028,,
8744c12b6ffffff,392000,6989,1,98916,,
8744c3a15ffffff,312000,6967,0.24,53401,90,174.6941896
8744c1a93ffffff,595000,6936,-0.1,163104,,
8744c1202ffffff,662500,6934,-0.42,164590,,
8744c1073ffffff,228000,6928,1.04,68298,,
8744c172bffffff,420000,6922,2.87,97591,,
8744c1ae5ffffff,215000,6917,0.38,60197,,
8744ccc90ffffff,632500,6892,1.98,87517,,
