hex_Res7,total_sales,med_price,med_price_sf,current_pop,pop_change,median_income
8744c1001ffffff,9,360000,141.3333333,,,
8744c1005ffffff,2,317500,123.1250845,,,
8744c1008ffffff,11,265000,147.0735368,,,
8744c1009ffffff,39,220000,139.7176471,6527,0.52,67500
8744c100cffffff,7,225000,124.694501,,,
8744c100dffffff,12,154000,78.63574689,,,
8744c100effffff,6,290000,127.4293808,,,
8744c1019ffffff,13,358000,131.5209405,1782,0.16,128410
8744c101dffffff,1,79000,85.4978355,,,
8744c1021ffffff,7,244900,139.6348013,,,
8744c1023ffffff,15,236000,145.2550032,,,
8744c1028ffffff,3,399990,165.8333333,,,
8744c1029ffffff,13,234000,143.75,,,
8744c102affffff,1,294785,192.9221204,,,
8744c102bffffff,5,324900,107.6584292,,,
8744c102cffffff,6,261500,127.417795,,,
8744c102dffffff,10,424660,135.3889806,,,
8744c102effffff,10,192500,126.0985989,,,
8744c1040ffffff,17,280000,155.6169429,4840,-0.45,51084
8744c1041ffffff,16,248000,160.6204012,7016,-0.43,65028
8744c1042ffffff,42,252500,147.3358267,7781,-0.54,80019
8744c1043ffffff,27,220000,151.4732965,6343,-0.08,59197
8744c1044ffffff,28,220000,124.1267538,5972,-0.45,57190
8744c1045ffffff,22,282500,143.7246698,7366,1.13,54162
8744c1046ffffff,36,242500,144.958173,7202,-0.58,56313
8744c1048ffffff,12,377000,216.3496242,10256,0.07,63184
8744c1049ffffff,7,290000,220.1089424,3300,-0.38,79633
8744c104affffff,21,348000,181.4516129,6335,0.26,68719
8744c104bffffff,25,390000,202.6666667,4971,0.19,100561
8744c104cffffff,15,267500,162.7218935,12891,-0.35,51729
8744c104dffffff,33,415000,244.0335306,9719,-0.11,74962
8744c104effffff,18,292500,146.0486977,7445,-0.26,71833
8744c1050ffffff,14,286000,146.7592853,4146,0.16,77664
8744c1051ffffff,16,279302.5,146.7625562,5698,-0.47,78752
8744c1052ffffff,19,310000,145.8891492,5021,-0.31,86355
8744c1053ffffff,15,248000,122.3880597,2783,0.29,78790
8744c1054ffffff,20,247500,124.4489152,3518,-0.56,64014
8744c1055ffffff,20,243548.5,133.3066839,3433,-0.51,72161
8744c1056ffffff,15,299900,115.6114825,3457,0.11,98184
8744c1058ffffff,14,284500,196.4779006,3293,-0.04,36824
8744c1059ffffff,2,727500,164.4953486,2851,-0.36,52037
8744c105bffffff,3,635000,130.4631442,1768,-0.3,164622
8744c105cffffff,37,226900,150.5016722,6565,-0.26,54115
8744c105dffffff,15,242000,128.998968,11579,0.12,45101
8744c105effffff,3,231900,138.1766382,991,0,114074
8744c1060ffffff,36,264000,131.2290307,4197,-0.43,68035
8744c1061ffffff,53,235000,168.5201027,6291,-0.37,79279
8744c1062ffffff,33,240000,153.3333333,5480,-0.48,68607
8744c1063ffffff,33,193000,149.2403932,5772,0.05,53453
8744c1064ffffff,21,260000,142.4558587,,,
8744c1065ffffff,32,254950,149.4672897,5968,-0.15,49543
8744c1066ffffff,9,271000,131.5902272,,,
8744c1068ffffff,28,562000,293.1383085,5910,2.66,114859
8744c1069ffffff,45,460000,261.4285714,11735,0.75,100498
8744c106affffff,26,357500,190.0089078,8795,0.97,62119
8744c106bffffff,27,410000,230.5751766,5789,0.12,92828
8744c106cffffff,44,395000,256.147541,5133,0.09,108759
8744c106dffffff,48,465750,338.1147541,12709,1.77,129528
8744c106effffff,25,219000,158.1626043,6301,0.98,57328
8744c1070ffffff,8,259000,146.9909987,2446,0.76,71791
8744c1071ffffff,20,252500,145.3971085,7412,0.56,70876
