Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202506,1,1000,67,20,124,0,2553,222,20020, , ,36310,3,6,5,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,2000,73,30,460,0,4211,142,13820, , ,35005,3,6,5,Adamsville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,5000,117,25,820,0,33701,142,13820, , ,35007,3,6,5,Alabaster,9,9,2211390,0,0,0,0,0,0,0,0,0
202506,1,6000,95,30,988,0,21777,290,10700, ,2,35950,3,6,5,Albertville,4,4,665493,0,0,0,0,0,0,0,0,0
202506,1,7000,123,35,1132,0,14142,194,10760, ,2,350100552,3,6,3,Alexander City,6,6,4992153,0,0,0,0,0,0,0,0,0
202506,1,8000,107,40,1228,0,2231,999,46220, , ,35442,3,6,5,Aliceville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,12000,39,55,1708,0,8677,999,99999, , ,36420,3,6,5,Andalusia,1,1,279507,0,0,0,0,0,0,0,0,0
202506,1,14000,15,60,1852,0,21090,999,11500, ,1,36202,3,6,5,Anniston,1,1,291536,0,0,0,0,0,0,0,0,0
202506,1,16000,95,65,2116,0,8384,290,10700,2, ,35016,3,6,5,Arab,3,3,493101,0,0,0,0,0,0,0,0,0
202506,1,17000,83,70,2260,0,1513,290,26620, , ,35739,3,6,5,Ardmore town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,22000,69,80,2836,0,2202,222,20020,2, ,363120428,3,6,5,Ashford,3,3,666913,0,0,0,0,0,0,0,0,0
202506,1,23000,27,85,2860,0,1872,999,99999, , ,36251,3,6,5,Ashland,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,24000,115,90,2908,0,2396,142,13820, , ,35953,3,6,3,Ashville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,25000,83,95,2956,0,28643,290,26620, , ,35611,3,6,4,Athens,33,33,9768551,0,0,0,0,0,0,0,0,0
202506,1,26000,53,100,3004,0,8949,999,99999, , ,36504,3,6,3,Atmore,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,27000,55,105,3028,0,5832,999,23460, , ,35954,3,6,3,Attalla,2,2,180000,0,0,0,0,0,0,0,0,0
