h3_id,Total_Visits,GHI Blairsville,GHI Clayton,GHI Cleveland,GHI Cumming,GHI Dahlonega,GHI Habersham,GHI Hamilton Mill,GHI at MP1 in Bethlehem,GHI at MP1 in Buford,GHI at MP1 in Jefferson,GHI at MP2 in Dawsonville,GHI at MPB in Braselton,GHI at Toccoa Clinic,GHI at Wisteria MOB,NGPG FM Auburn,NGPG FM Chestnut Mountain,NGPG FM Clayton,NGPG FM Community Clinic Gainesville,NGPG FM Concierge Medicine Gainesville,NGPG FM Cumming,NGPG FM Dacula,NGPG FM Dahlonega,NGPG FM Hamilton Mill,NGPG FM Lavonia,NGPG FM Oakwood,NGPG FM West Jackson in Hoschton,NGPG FM at MP1 in Bethlehem,NGPG FM at MP1 in Buford,NGPG FM at MP1 in Flowery Branch,NGPG FM at MP1 in Jefferson,NGPG FM at NGMC Barrow MOB,NGPG FM/IM Cleveland,NGPG FM/IM at MP1 in Braselton,NGPG FM/IM at MP1 in Dawsonville,NGPG FM/IM at MP2 in Gainesville,NGPG FM/IM at Toccoa Clinic,NGPG IM Demorest,NGPG Ortho Trauma Gainesville,NGPG Orthopedic Surgery Cleveland,NGPG Orthopedic Surgery Dahlonega,NGPG Orthopedic Surgery Demorest,NGPG Orthopedic Surgery Hamilton Mill,NGPG Orthopedic Surgery at MP1 in Bethlehem,NGPG Orthopedic Surgery at MP1 in Buford,NGPG Orthopedic Surgery at MP2 in Dawsonville,NGPG Orthopedic Surgery at MPB in Braselton,NGPG Orthopedic Surgery at Toccoa Clinic,NGPG Orthopedic Surgery at MP1 in Gainesville,NGPG Surgical Associates Cleveland,NGPG Surgical Associates Dawsonville,NGPG Surgical Associates Demorest,NGPG Surgical Associates at MP1 in Bethlehem,NGPG Surgical Associates at MP1 in Buford,NGPG Surgical Associates at MP1 in Jefferson,NGPG Surgical Associates at MP2 in Gainesville,NGPG Surgical Associates at MPB in Braselton,NGPG Surgical Associates at Toccoa Clinic,NGPG at MP1 Thompson Bridge,Urgent Care Jefferson
8744c0206ffffff,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c0233ffffff,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c0236ffffff,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
8744c0241ffffff,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c0253ffffff,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c0273ffffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c0285ffffff,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c02a0ffffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c02a5ffffff,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8744c02e0ffffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c02e6ffffff,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c02f5ffffff,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744c034dffffff,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8744c0382ffffff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
